都道府県コード又は市区町村コード,NO,都道府県名,データ名称,データ概要,データ形式,分類,URL,ライセンス,掲載ページ名,掲載ページURL,データ提供所属,備考
230006,67,愛知県,豊川市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205022/c205022_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,68,愛知県,豊橋市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205021/c205021_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,69,愛知県,碧南市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205020/c205020_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,70,愛知県,武豊町,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205019/c205019_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,71,愛知県,美浜町,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205018/c205018_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,72,愛知県,飛島村,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205017/c205017_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,73,愛知県,半田市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205016/c205016_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,74,愛知県,南知多町,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205015/c205015_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,75,愛知県,東海市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205014/c205014_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,76,愛知県,東浦町,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205013/c205013_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,77,愛知県,田原市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205012/c205012_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,78,愛知県,津島市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205011/c205011_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,79,愛知県,知多市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205010/c205010_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,80,愛知県,大府市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205009/c205009_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,81,愛知県,西尾市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205008/c205008_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,82,愛知県,常滑市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205007/c205007_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,83,愛知県,高浜市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205006/c205006_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,84,愛知県,刈谷市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205005/c205005_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
